query,intent
where did i place my phone,find_phone
i d like to schedule a meeting room from 1 00 pm until 2 00 pm,schedule_meeting
i prefer to be called jason,change_user_name
please add roar by katy perry to my playlist,update_playlist
what is the proper way to spell diamond,spelling
tell me my car s fuel economy,mpg
unsync yourself from my phone please,sync_device
what types of things are you able to do,what_can_i_ask_you
that s incorrect ,no
where should i go to get a w2 to do my taxes,w2
please look up my credit score,credit_score
give me my income,income
is it hot outside,weather
make a list of all sites in the us where spirits have been seen at night,out_of_scope
i would like to find a stylish suit for a party,out_of_scope
when was i paid most recently,payday
read to me my to do list,todo_list
you want to know about current time now,out_of_scope
i need you to call michael at home,make_call
which timezone is england in,timezone
add clean the bathroom to my task list,todo_list_update
would you please pair with my phone,sync_device
do you know anything funny about cats,tell_joke
how can you convert miles to kilometers,measurement_conversion
what will you call me,user_name
what is the caloric value of a cookie,calories
my card was cut by my kid,damaged_card
inform my bank i will travel to brazil from june 1st to july 1st,travel_notification
what price is my credit card and my water bill at,bill_balance
how do i increase the limit on my visa card,credit_limit_change
i want a clean bootup to factory settings,reset_settings
the reservation i made is not required anymore,cancel_reservation
my previous job s 401k needs to be rolled over,rollover_401k
what is the shelf life for beef in the freezer,food_last
please confirm my reservation at brio for theodore,confirm_reservation
how do you spell out espresso,spelling
in my car what s the fuel economy,mpg
who assembled you,who_made_you
i would like to know your name,what_is_your_name
can you translate hi into spanish for me,translate
it was very good to talk to you,goodbye
reset to original settings,reset_settings
is it legal to breed and sell rabbits without a license,out_of_scope
i would like to get a new insurance plan,insurance_change
read my list of reminders to me,reminder
could i rent a car out of dallas from april 1 10,car_rental
i want you to quit the action,cancel
let me know the current time in the central timezone,time
how many of inches of snow did my hometown get last year,weather
please confirm my reservation for kevin at red robin,confirm_reservation
how much farther is orlando from my location,distance
why was a hold placed on my wells fargo account,account_blocked
what can i do to jump start my car,jump_start
where were you manufactured,where_are_you_from
add this song to my jazz playlist,update_playlist
will i be charged if i use the card in italy,international_fees
i wonder if you can explain the meaning of life,meaning_of_life
what is the meaning of incandescent,definition
i need to cancel my reservation for new york to xai varanda,cancel_reservation
what is 1 fifth times 2 fifths,calculator
is there a quick way to improve my credit score,improve_credit_score
when is the next time i should change my oil,oil_change_when
what s my visa limit,credit_limit
what were the top stories this week,out_of_scope
what is the formula for the circumference of a circle,out_of_scope
what is some trivia about the weather,fun_fact
how high is my credit limit for my walmart card,credit_limit
did i put unpacking groceries on my to do list,todo_list
how many meters are in 10 millimeters,measurement_conversion
call my phone i can t find it,find_phone
what is the way to say thank you in spanish,translate
do i need a vaccination for spain,vaccines
can you help me begin the process of redeeming credit card points,redeem_rewards
please explain the steps to change oil,oil_change_how
tell me how far i am from home in time and miles,distance
order more checkbooks for my community account,order_checks
help me find some new dinner recipes,meal_suggestion
what is 1 million twelve hundred divided by 400 thousand,calculator
tell me the date today,date
what time is boarding for my flight,flight_status
remove the birthday party this friday from my schedule,calendar_update
am i eligible for a new credit card,new_card
i lost all my stuff that i had packed,lost_luggage
what have i spent on food this month,spending_history
what is the meaning of the word lux,definition
will my debit card go bad any time soon,expiration_date
how would i raise my credit spending by 250 dollars,credit_limit_change
can you check that there s a reservation for mark at sidetracks,confirm_reservation
can you call an uber for 2 to go to proof on main,uber
am i going to be able to get my vacation request,pto_request_status
i need milk on my shopping list,shopping_list_update
how long should i microwave hot pockets for,cook_time
ai shake the dice in a cup then throw dice on table,roll_dice
what s the nutritional info for a ganola bar,nutrition_info
i need an italian dinner idea,meal_suggestion
my credit rating is what,credit_score
can you schedule a meeting with steve for 5,schedule_meeting
how long will i have to wait until they replace a stolen credit card,replacement_card_duration
dial someone s phone number,make_call
i was using my credit card as a cutting board and accidentally sliced it in half,damaged_card
what is 20 times 20 times 30,calculator
what do i owe for my utilities bill,bill_balance
spell doctor,spelling
send me live feed of the pre game prediction show on my phone,out_of_scope
roll dice,roll_dice
how can i order checks for my savings account,order_checks
can i eat chicken if it s been in the fridge since monday,food_last
how long will it take me to get to red robin in glendale,distance
what s a good gift to get for your grandparents,out_of_scope
change over to the female voice,change_accent
do i need a socket converter if i m going to be in ohio,plug_type
what s the balance of my bank accounts,balance
i need help with my 401k rollver since i got a new job,rollover_401k
i have to roll over my 401k to a new account and i don t know how,rollover_401k
help me switch to a new insurance plan,insurance_change
what can i expect to pay in taxes,taxes
can you pull up my most recent transactions,transactions
how much do i make every 2 weeks,income
book an appointment for an oil change,schedule_maintenance
what s the answer to 5 6 ,calculator
can i see my credit score,credit_score
give me a table for 3 at o reilly s bar for 7 please,restaurant_reservation
no that information is wrong,no
what am i listening to,what_song
what s my schedule like for thursday the 14th,calendar
can you find my credit score,credit_score
what timezone is milan in,timezone
use one of your male voices,change_accent
how much time do i need to make the chicken,cook_time
if i use my card in mexico will there be added fees,international_fees
it was great to have this conversation with you,goodbye
who do i need to contact to ask for a credit limit increase on my discover card,credit_limit_change
look up the name of this song,what_song
are there transaction fees charged to my discover card in japan,international_fees
what s the time it takes to make a decent omelette,cook_time
i will be in lakewood from monday to wednesday and i need a hotel room for 4 people,book_hotel
i want to know all about trivia for the office,fun_fact
how well is the gas mileage while i m in the city,mpg
how is the tread on my tires,tire_change
flip a coin heads,flip_coin
do i need to get vaccinated to go to thailand,vaccines
i have to report a lost visa card,report_lost_card
i want to transfer funds between accounts,transfer
what is your current income,income
i want to know how much vacation time i can use,pto_balance
will my amex institute international transaction fees on a charge,international_fees
check if my vacation time has been approved,pto_request_status
please allow me to swap salt for baking soda,ingredient_substitution
it is definitely affirmative,yes
can you tell me your birthday,how_old_are_you
could i cancel my reservations,cancel_reservation
i would like you to set the timer to go off in ten minutes,timer
i need to book a car rental in boston,car_rental
my card has purchases i don t recognize,report_fraud
what s your name if i may ask,what_is_your_name
do i need special shots to go to africa,vaccines
bring up my most recent purchases,transactions
how long do you cook a hamburger for,cook_time
ai how are you doing today,greeting
roll a die with 6 sides please,roll_dice
do my tires need to be changed,tire_change
i need to rollover my 401k to a new job,rollover_401k
can you say what you just said again,repeat
whats the update on flight dl123,flight_status
any unique trivia about beats headphones,fun_fact
what s the best way to pay my bill,pay_bill
i need to get some assistance figuring out how to rollover my 401k please,rollover_401k
can you show me how to set up my paycheck to be direct deposit to my first hawaiian bank account,direct_deposit
how do i jump start my vehicle,jump_start
on the tv,smart_home
what is the name of the person who made the ai,who_made_you
the plastic numbers on my card are falling off,damaged_card
i need you to increase the speaker volume,change_volume
what is your age again,how_old_are_you
i want a timer set for 10 minutes,timer
is va treatment free for veterans,out_of_scope
are there any travel alerts in that region,travel_alert
tell me when my visa card will have expired,expiration_date
i need to know what this song is called,what_song
how many points have i accumulated on my mastercard,rewards_balance
what step do i take if my bag got lost on the flight,lost_luggage
what am i able to ask the ai,what_can_i_ask_you
i m hungry where should i go,restaurant_suggestion
i need a pto request for the dates jan 15th to jan 20th,pto_request
look up which animal is represented in this year s chinese new year,out_of_scope
i want to change to a new allstate insurance plan,insurance_change
how is life in existence,meaning_of_life
how much of a refund will i get this year,out_of_scope
can you help me tell what my starbucks rewards balance is,rewards_balance
i d like to change my pin number for my wells fargo account,pin_change
find the names of all the rain forests located in south america,out_of_scope
when was the theory of evolution first considered,out_of_scope
what s the funniest thing you know about peanuts,tell_joke
let me know my current location,current_location
send sal a text and tell them thanks,text
can you tell me this song,what_song
when can i expect my order,order_status
can you help me find my w 2,w2
what s my routing number from chase,routing
i would like to do some things in phoenix,travel_suggestion
when taking a flight with lion to singapore how many carry ons are allowed,carry_on
when was toyota created,out_of_scope
what date is another paycheck due,payday
it was nice to chat,goodbye
i want my account locked out,freeze_account
if i may i d like to call you slave,change_ai_name
can you tell me about your hobbies,what_are_your_hobbies
how could i say twin in chinese,translate
please give me my salary figure,income
text mom saying happy birthday,text
how many carry ons can i take on a flight with delta to seattle,carry_on
is it safe to travel to argentina,travel_alert
start a timer for me,timer
can you call a taxi,make_call
how can i locate where i am,current_location
did my chase card application go through yet,application_status
how can i transfer my 401k,rollover_401k
how many carry ons can i take on a flight with united to lax,carry_on
what s the date on my last pay stub,payday
create an alarm,alarm
i would like to find a list of cool things recommended for tourists in copenhagen denmark,travel_suggestion
how can i change to new insurance plan,insurance_change
please let s speak in spanish,change_language
syonara ai device ,goodbye
can you translate milk into spanish for me,translate
are there any travel alerts for antarctica,travel_alert
could you please get out of whisper mode,whisper_mode
set a timer for fifteen seconds,timer
please inform my bank i ll be vacationing in the bahamas in a couple of days,travel_notification
when should i get my tires changed again,tire_change
i m going to start calling you alice,change_ai_name
tell me how much my cable bill is,bill_balance
what ingredients do i need to make broccoli cheddar soup,ingredients_list
how many tablespoons is 5 teaspoons,measurement_conversion
can you see the second right inside the fridge,out_of_scope
do i meet with joan today,meeting_schedule
do i have any meetings today between 9 and 10 15,meeting_schedule
what do i currently pay in taxes,taxes
right now i need to know the meaning of life,meaning_of_life
go ahead and play the next song on this playlist,next_song
what southwest flights are there for lax to sfo arriving april 1st and returning april 7th,book_flight
how do i get perfect alignment with the curb,out_of_scope
what do i owe in federal taxes,taxes
i want you to cancel my reservation for 5 at red robin,cancel_reservation
my card did not work yesterday,card_declined
can i increase the credit limit for my bank of the west card,credit_limit_change
spell government,spelling
i wonder what my to do list looks like for today,todo_list
can you tell me what time it is please,time
what s the process for rolling over my 401k,rollover_401k
what is the best rated hotel in evans,book_hotel
what health benefits can i use,insurance
when s my flight getting here,flight_status
could you repeat that please,repeat
i need my account frozen,freeze_account
name unusual facts about the circus,fun_fact
contact bank and let them know about my travel plans,travel_notification
please put dusting on my list of things to do,todo_list_update
please put milk on my list i just used the last of it,shopping_list_update
can you tell me my insurance benefits,insurance
what electrical plug do they use in the uk,plug_type
please flip a coin i call heads,flip_coin
put a hault on my savings account,freeze_account
my luggage is missing,lost_luggage
give me a amusing fact about wolf,fun_fact
what kind of ingredients go into the chicken a la king,ingredients_list
what is the minimum payment on my phone bill,min_payment
tell me if there is any transaction fee using royal card in europe,international_fees
what is the current day,date
let my bank know i m going to be in russia for a month,travel_notification
my chase account has a hold why,account_blocked
what is the most popular airline,out_of_scope
can i get a car to the baseball field for 12,uber
my luggage did not arrive please investigate,lost_luggage
am i ready for an oil change soon,oil_change_when
how did my bank account is frozen,account_blocked
what to do in minneapolis,travel_suggestion
what should i grab to make a german chocolate cake,ingredients_list
i ll need you to set a timer for 10 minutes,timer
what if you need to get a new credit card,new_card
share my location with ma,share_location
who is your supervisor,who_do_you_work_for
would you kindly remove five mile run from my list of things to do,todo_list_update
how long will eggs keep in the freezer,food_last
what ingredients do i need for tacos,ingredients_list
how should i prepare to change my own oil,oil_change_how
set a 5 minute timer,timer
who is jane goodall,out_of_scope
are you an ai or can you prove you re human,are_you_a_bot
what is that song that s playing,what_song
website to start aaa new insurance plan,insurance_change
who is your superior please,who_do_you_work_for
tell me how long can i keep pizza in the freezer for before it goes bad,food_last
whats going on with my day off request,pto_request_status
connect me with an uber,uber
i need to know how jumping a car works,jump_start
my vacation has it been approved yet,pto_request_status
please confirm my reservation for dinner at gusto handcrafted pasta pizza at 6 30 pm,confirm_reservation
define the meaning of life,meaning_of_life
repeat that last response,repeat
refrain from talking,cancel
book an uber suitable for seating 5 individuals and headed for the mall,uber
please introduce yourself,what_is_your_name
where do i report fraud on my credit card,report_fraud
i need to order more checkbooks for my capital one account,order_checks
what kind of oil do i need to get and use for my car,oil_change_how
how old are you exactly,how_old_are_you
the tv turn it on,smart_home
are there instructions on how to make buttermilk pancakes,recipe
roll them bones ,roll_dice
flip it please,flip_coin
can i take out the olive oil and use lard,ingredient_substitution
how do i spell acquaintance,spelling
what is my apr,apr
where did you grow up,where_are_you_from
what do i need to gas up this car,gas_type
find if there are any travel alerts for canada,travel_alert
do you know how to spell curiosity,spelling
what company made this ai,who_made_you
what sorts of activities do you enjoy,what_are_your_hobbies
hey ai cancel it now,cancel
what s a good stretch to do to limber up,out_of_scope
will i need to have a plug converter when i visit madrid,plug_type
i want to know what time it is,time
what kind of insurance plan am i in,insurance
can i use normal flour if i don t have bread flour,ingredient_substitution
thank you ever so much for that ,thank_you
pay the electric bill,pay_bill
can you text walt and tell him to meet me at the car wash,text
please tell me what shots i am required to get to travel to india,vaccines
list a few pizza places that have seating near my current location,restaurant_suggestion
are you able to call me by my name,user_name
i need you to increase your speaker volume,change_volume
why can t i use my money market account,account_blocked
find a chow mein recipe for me please,recipe
hello anyone there,greeting
how long will it take to reach central park by bus,distance
what is the minimum i can pay on my cell phone bill,min_payment
define antagonist for me please,definition
reserve a table for 4 at red lobster under the name dave at 7 30pm,restaurant_reservation
order me some doritos please,order
do i have watering the plants on my to do list,todo_list
can you increase how much i can spend on my visa,credit_limit_change
how many stars does babbo have,restaurant_reviews
please respond to me in english from now on,change_language
would you let me know who your boss is,who_do_you_work_for
is mcdonalds a good place to eat,restaurant_reviews
how do i obtain the cash for the rewards on my hy vee card,redeem_rewards
i d like to schedule some pto from 2 22 to 2 25,pto_request
what kind of gas does my car use,gas_type
set my temp to 75,smart_home
i must apply for a new credit card,new_card
i lost my discover card i want to report it,report_lost_card
where did i last place my remote,out_of_scope
check to see if picking up glenn from the airport is on my list of reminders,reminder
i did not catch that repeat what you just said,repeat
what is the meaning behind life do you think,meaning_of_life
how many points do i have with my american express,rewards_balance
can you share something funny about traveling,tell_joke
i gotta change my pin number for my debit account,pin_change
when can i start boarding my flight,flight_status
how do i find lost luggage,lost_luggage
i have to call jane,make_call
move to the next song,next_song
look up how much my state taxes are,taxes
what s the time zone in miami,timezone
what are some fun local experiences in canada,travel_suggestion
clear my calendar for february 29th,calendar_update
i would like to look up my credit score please,credit_score
can you call someone,make_call
how much money am i earning,income
clear something up are you a robot,are_you_a_bot
pay the red cross the monthly donation,pay_bill
is there any news on flight dl123,flight_status
i wish to pay my cable bill,pay_bill
i no longer need a table for four at chili s,cancel_reservation
do i need some vaccinations or anything if i m going to eastern europe,vaccines
have they approved my vacation request yet,pto_request_status
help me transfer my 401k,rollover_401k
tell me something funny now,tell_joke
what do you do if your luggage is missing,lost_luggage
what are the words to the chorus for this song,out_of_scope
why would the bank have frozen my account,account_blocked
whats the calorie content of oatmeal,calories
do i need to get any shots before i travel to liberia,vaccines
the next time it rains remind me to close the windows,reminder_update
tell me how many meetings with pete i have for today,meeting_schedule
can you check the expiration date for my amex card,expiration_date
how many mpg does this get on the highway,mpg
that isn t the right answer,no
pay my gas bill with my checking account,pay_bill
how are the reviews for la loconda,restaurant_reviews
what is the best way to remove this appointment,calendar_update
how do i see my credit score,credit_score
i d like to learn more about your pets,do_you_have_pets
who has seen my cellphone,find_phone
can you give me a reading of my car s tire pressure please,tire_pressure
tell me how old you are,how_old_are_you
what are ai s hobbies,what_are_your_hobbies
go to whisper mode until this movie is over,whisper_mode
i need to know how many teaspoons are equivalent to two tablesppons,measurement_conversion
what is my credit score,credit_score
play the next tune,next_song
in what month will my card reach expiration,expiration_date
slow down your talking too fast i don t understand you,change_speed
send my location to ben and jerry,share_location
how should i proceed if i accidentally lost my luggage,lost_luggage
alexa buy my grocery list,order
how long must i cook spaghetti for,cook_time
could you submit a pto request for me for dates june 11 to 14,pto_request
hi are you doing okay,greeting
how long to seattle on a bus,distance
is there any traffic on the way to the bank,traffic
how old are you as of today,how_old_are_you
will it be long to get to the sky harbor airport,distance
i m inquiring about the availability of a room that fits 10 people from monday to tuesday in manhattan,book_hotel
us dollars to uk,exchange_rate
are there any good places in cleveland that serve clams,restaurant_suggestion
i must report fraudulent activity on my debit,report_fraud
what s my daily spending limit,credit_limit
how many dollars can i get for 20 yen,exchange_rate
i want a hotel with good review in honolulu can you find one,book_hotel
verify that i have reservations at chilis for john doe,confirm_reservation
inform me the lowest amount i can pay for my cable bill,min_payment
can you please help me find my lost luggage,lost_luggage
how do i order checks once i run out,order_checks
where is the closest driving range,out_of_scope
can i see my health benefits,insurance
what is the account number to the internet service i have,out_of_scope
how long should i cook a steak for,cook_time
could you let me know how many pto days do i have left,pto_balance
give me a list of international transaction fees for my amex,international_fees
will you summarize my health benefits,insurance
i would like to make a call to sal,make_call
can you help me understand why my card got declined,card_declined
help me schedule a meeting,schedule_meeting
please note that i will be travelling internationally soon,travel_notification
what is the amount of gas i have,gas
maybe maybe not,maybe
how are those mcdonald s reviews looking,restaurant_reviews
how high is my balance on my discovery card,credit_limit
i don t want to do anything today so just clear the todo list,todo_list_update
what s the artist s name of this song,what_song
why is there a block on my account,account_blocked
can i use direct deposit for my tax refund,out_of_scope
to vacation to tel aviv do i need a travel visa,international_visa
add dentist appointment to my calendar for march 1,calendar_update
can i fly from atlanta to san francisco for less than 100 dollars,book_flight
it looks like my account is blocked but i have no clue why,account_blocked
how do i check my rewards for my chase card,rewards_balance
program my new robot to bring me snacks,out_of_scope
how long does cottage cheese keep in the fridge,food_last
can you tell me why my card got declined,card_declined
is there a travel alert for canada,travel_alert
can i plug in my electronics there like normal,plug_type
find a columbus ohio hotel with good reviews,book_hotel
are transaction fees charged for my aaa card in canada,international_fees
tomorrow i need the alarm to go off at 5,alarm
is espn covering the golden state warriors game,out_of_scope
what s the pin number for my checking account,pin_change
what is the name of the insurance plan i am enrolled in,insurance
check my calendar for march 4th 2019 please,calendar
make the volume louder,change_volume
how long will it take the bus to get to stop 23,distance
what do i have on my todo list,todo_list
maybe it is,maybe
disconnect from my phone,sync_device
that is accurate,yes
i want a table at texas roadhouse how long will it be,how_busy
what s your first name,what_is_your_name
how i do schedule car maintenance,schedule_maintenance
what amount of money is in my bank accounts,balance
is my flight dl123 on time,flight_status
which song are we listening to,what_song
the nutritional info for macaroni and cheese is what,nutrition_info
bump some jams,play_music
refresh my memory about what items i want to remember,reminder
how much money have i dropped recently,spending_history
i need to cancel my dinner reservation,cancel_reservation
add god s plan by drake to my playlist,update_playlist
let me know what is on my reminder list,reminder
can you help me get on a new united healthcare insurance plan,insurance_change
tell me my miles per gallon on my car,mpg
please check the door to see who is there,smart_home
i am traveling to paris soon and would like some suggestions of what to do and see,travel_suggestion
tell me which wifi network you are connected to right now,out_of_scope
what did your friends call you,what_is_your_name
let s change the language for you,change_language
what s my monthly income,income
how many dollars can i exchange for 100000 yen,exchange_rate
i need a timer set please,timer
what does idiosyncratic mean,definition
could you talk a little faster,change_speed
i want your responses to be in french,change_language
call bob for me,make_call
what s the eta for a new card to come in the mail,replacement_card_duration
pair my phone please,sync_device
meaning of life is,meaning_of_life
i d like to set a new timer,timer
what are my insurance assets,insurance
please turn the tv on,smart_home
play me the playlist entitled jazz,play_music
i want to know the status of my day off request,pto_request_status
do i have toothpaste on my shopping list,shopping_list
add laundry to my list of shit to do,todo_list_update
what are some tourist sites to see in ann arbor,travel_suggestion
how many points per game is lebron james averaging this season,out_of_scope
would it be accurate to call you a bot,are_you_a_bot
tell me the most recent charges on my chase credit card before i pay the bill,transactions
you must skip this song and play the next one,next_song
change my name to bob,change_user_name
is is very much true,yes
tell me what s on my shopping list,shopping_list
who formulated the theory of relativity,out_of_scope
i m thankful,thank_you
turn the furnace on please,smart_home
i need a reminder to order cookies,reminder_update
what s on my calendar for the 18th of march,calendar
what is the spelling of potato,spelling
roll the 10 sided dice on time,roll_dice
what mpg does my car get,mpg
i want you to send ten dollars from bank of america to capital one,transfer
what are the international transaction fees for my chase card,international_fees
i think your a bot,are_you_a_bot
i want you to read my reminder list to me,reminder
what sort of jokes do you know,tell_joke
why my card stop working,card_declined
what s the shelf life for eggs in the fridge,food_last
which purchases are on my shopping list,shopping_list
set a six minute timer,timer
can i change what you call me,change_user_name
i need to know the credit limit,credit_limit
know any jokes,tell_joke
what is the purpose of existence,meaning_of_life
can you share something interesting about world war one,fun_fact
can you read my to do list to me please,todo_list
set a reminder for me to request time off work around the holidays,reminder_update
on the card can you give me the last transactions,transactions
what shots do i need to get in order to travel to khartoum,vaccines
let me know the exchange rate between dollars and rubles,exchange_rate
what s my current limit on my visa,credit_limit
what is your favorite cats or dogs,do_you_have_pets
if i go to columbia will i need a visa,international_visa
let me know the rules for carry ons for continental,carry_on
i need to report that my card has been lost,report_lost_card
tell me when my next day off is,next_holiday
what was the final vote count in the brexit referendum,out_of_scope
what is a good recipe for steak,recipe
hello there,greeting
how long will my eggs be good for,food_last
what s the best place for some thai in new york city,restaurant_suggestion
can i use flour instead of cornstarch to make gravy,ingredient_substitution
when will be the next holiday here,next_holiday
how many ml s are in a gallon,measurement_conversion
what sort of health benefits do i have,insurance
i want to freeze my bank account,freeze_account
what s the current weather situation for tallahassee,weather
i don t want my current pin for my wells account anymore,pin_change
does the steakhouse on main st take reservations,accept_reservations
what is the square root of sixteen,calculator
can you tell me the date my credit card is due,bill_due
how does this do on gas mileage,mpg
check reservation availability for 2 at red lobster at 8pm,restaurant_reservation
can you please locate my phone,find_phone
can you tell me how busy chipotle will be at nine tonight,how_busy
what s the meeting room availability between noon and 2,schedule_meeting
can you tell me more about my federal taxes,taxes
what meetings are on my schedule today between 1 00 pm and 4 00 pm,meeting_schedule
has there ever been total world peace where no nations in the world are at war,out_of_scope
are you an automated assistance,are_you_a_bot
will you add mopping to my to do list please,todo_list_update
what is my credit limit looking like,credit_limit
i want to be called mollie,change_user_name
has the leftover hamburger from last saturday gone bad,food_last
i would like to set a reminder to bring the plants in tonight,reminder_update
tell me where my order is,order_status
tell me the expiration date on my visa credit card please,expiration_date
can i protect my credit score,improve_credit_score
what teams are playing right now,out_of_scope
show me popular sushi recipes,recipe
what s your full name,what_is_your_name
how do you start an essay,out_of_scope
at what point should the flight land,flight_status
where is te lawrence,out_of_scope
i need a recipe for chili,recipe
how do i stop my child from setting small animals on fire for amusement,out_of_scope
how busy is jiro at 12 lunch time,how_busy
how do i change my car oil,oil_change_how
can i make a reservation for redrobin,accept_reservations
do you know the calorie content of a strip of bacon,calories
is there traffic on my way to work today,traffic
how can i cash in rewards on my discover card,redeem_rewards
how much am i allowed to spend on my discover card,credit_limit
what timezone is philadelphia in,timezone
where do you want to eat tonight,restaurant_suggestion
i want to set up direct deposit,direct_deposit
look up the exchange rate between dollars and euros,exchange_rate
can you check where my luggage is off jetblue flight ab123 out of buffalo,lost_luggage
who is you employer,who_do_you_work_for
how to you spend your free time,what_are_your_hobbies
how many inches are in 5 feet,measurement_conversion
what size pipes are used for sinks,out_of_scope
can you give me a spelling for antipathy,spelling
when will my new card come in the mail,replacement_card_duration
please book a car for me in ho chi minh,car_rental
i saw a fraudulent transaction,report_fraud
nutrition information for chicken nuggets please,nutrition_info
what are the ways i can transfer my 401k,rollover_401k
i m flying delta and need to know the carry on rules,carry_on
remind me to write that letter,reminder_update
has my application for the mastercard card gone through,application_status
how many calories on average are in a hot dog,calories
i have to go but it was nice talking again ,goodbye
what do you like doing in your free time,what_are_your_hobbies
how much fuel do i have,gas
make a list of what materials have been used for spacesuits,out_of_scope
does my card charge if i use it in china,international_fees
how long should a cake bake,cook_time
how much can i spend on my discover card,credit_limit
what is your name for me please,user_name
are any shots recommended before going to kenya,vaccines
whats the status of my frontier flight,flight_status
can you play everlong by foo fighters,play_music
is there an insurance plan for my health,insurance
has my vacation time at work been allowed,pto_request_status
ai you have given me so much information thank you,thank_you
is my credit score over 700 yet,credit_score
please make a reservation at ruth s steaks for a party of five at 7 00 pm under jack arnold,restaurant_reservation
no that s incorrect,no
name the leader from tibet that stands firm for world peace,out_of_scope
please find out the current status of my credit card application,application_status
i d like to use another name for you,change_ai_name
erase my to do list,todo_list_update
what s my current tire pressure,tire_pressure
what is the expiration date of my credit card,expiration_date
provide me assistance on where to go to get my w2 for tax reasons,w2
i really need to get a volkswagen car rental for march 5th to march 8th in phoenix,car_rental
find out the reason why am i locked out of my bank account,account_blocked
let me hear all meetings for today,meeting_schedule
what s the currency conversion between rubles and pounds,exchange_rate
don t forget to tell me to call my mother,reminder_update
can i summon a demon using just an ouija board,out_of_scope
i want you to play the next song on this playlist,next_song
how would you rate the airport i am traveling to,out_of_scope
what s 50 euro in dollars,exchange_rate
i wanna know when i was paid last,payday
does cleveland have any good places that serve clams,restaurant_suggestion
no way,no
what do i need to make macaroni,ingredients_list
i need to take out the trash please remind me,reminder_update
do you know how to spell bourgeois,spelling
i wanna know how long until the next day off,next_holiday
what timezone is hanoi in,timezone
address me by the name stan,change_user_name
how good are the ratings for chez panisse,restaurant_reviews
can you please tell me my card s expiration month,expiration_date
can i book a hotel in new york city near times square from 3 1 until 3 5,book_hotel
affiliate s definition is what,definition
is there a list of recommended shots to get before travelling to kenya,vaccines
which could be improve the credit score,improve_credit_score
who do you function for,who_do_you_work_for
it s good to see you,greeting
what can i address you,what_is_your_name
throw the dice,roll_dice
i wonder how many points i have earned with my bank of america card,rewards_balance
what do you think i m called,user_name
where can i locate my w2 so i can do my taxes,w2
could you tell me today s date,date
how can i fix my card being declined,card_declined
i am going to need you to say that again,repeat
how high are the rewards on my discover card,rewards_balance
alexa book a rental car to los angeles county in 2 hours,car_rental
is there a way to change my pin number for my savings account,pin_change
what s the inflation of my tires,tire_pressure
update my shopping list delete canned olives,shopping_list_update
please see if you can increase my credit limit to one thousand dollars,credit_limit_change
i need to make a reminder please,reminder_update
no ,no
can you help me apply for a visa card,new_card
i d like to make an appointment to get my oil changed,schedule_maintenance
i m looking for a roundtrip flight from aaf to dia for february 23rd to february 28th,book_flight
what is my money market account balance,balance
cut carrots can stay in the fridge for how long before going bad,food_last
can you help me find my phone please,find_phone
what is the apr on my first bank card account,apr
how many meetings do i have today between noon and one,meeting_schedule
heads coin flip,flip_coin
disconnect from my phone now please,sync_device
what s the chance of rain,weather
i need you to call the phone company for me,make_call
inform me of my current credit rating,credit_score
cancel my reservation for chris at jp field s,cancel_reservation
let me know the list of transaction on my first hawaiian bank,transactions
pair with my phone,sync_device
i want to call robby,make_call
can you disconnect yourself from my phone,sync_device
what traffic can i expect on the way to the newark new jersey from philadelphia,traffic
what s the quickest way to a bank,directions
i would like to upgrade to full coverage for my car,out_of_scope
what kind of gas does this car need,gas_type
i need an uber to get to dulles airport,uber
do you know an good pasta dishes,meal_suggestion
i d like for you to make sure my reservation is there for charlie s under jack,confirm_reservation
send chris a text message that says stop for milk on your way home,text
please stop talking,cancel
how long do i cook steak,cook_time
can i use my credit card points for gas,redeem_rewards
if i need a new card mailed how long will it take,replacement_card_duration
how many swedish kroner do i get for a dollar,exchange_rate
it seems that my account is blocked and i m not sure why,account_blocked
what is the total number of calories in a bag of potato chips,calories
who is responsible for your design,who_made_you
does greece currently have any travel alerts in place,travel_alert
what is the time please,time
can i use water instead of milk,ingredient_substitution
what kind of meal should i eat from thailand,meal_suggestion
tell me how many vacation days i have,pto_balance
what is the carry on policy for flights on jetblue,carry_on
what s on my calendar on march 10th,calendar
for city driving what s the car s mpg,mpg
i lost my commerce card and need to report it as lost,report_lost_card
when is my credit due to expire,expiration_date
can i increase the credit limit on my target card,credit_limit_change
start my playlist,play_music
can you help me pay this bill,pay_bill
please change your accent,change_accent
please set up a reminder i need to remember to ask about work,reminder_update
how much have i spent on books recently,spending_history
turn your voice box down,change_volume
how much have i spent on bills recently,spending_history
are there travel alerts for europe,travel_alert
whats the forecast for the weather,weather
cancel my reservation at osteria for our party,cancel_reservation
can i change your talking voice,change_speed
when was my oil last changed,last_maintenance
would it be ok to use butter instead of oil,ingredient_substitution
how do i deal with angry painful red bumps,out_of_scope
i think my visa card was stolen,report_lost_card
can you tell me what your refer to me as,user_name
what s the most popular tv show on netflix right now,out_of_scope
what s my interest rate with my capital one account,interest_rate
what is the weather report for costa mesa,weather
ai can you tell me what things i may ask,what_can_i_ask_you
please add 456 and 781 for me,calculator
please change your language setting to spanish now,change_language
it is time to say goodbye,goodbye
can you group my photos by location,out_of_scope
what is the process of making a vacation request,pto_request
can you check to see which parking garages are open downtown,out_of_scope
please put a block on my citi account immediately,freeze_account
what s the method of jumping my car,jump_start
